                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 0.4698,                0.28272,                 0.8524,                0.99743,                0.99807,                0.99499,                0.91454,                0.43502,                0.21279,                0.82581,             0.00035275,             0.00035275,             0.00035275
                     47,                0.47151,                0.29501,                0.85212,                0.99549,                0.99802,                0.99495,                0.90864,                0.45382,                0.22292,                0.83043,             0.00034656,             0.00034656,             0.00034656
                     48,                0.47511,                0.28734,                0.85366,                0.99693,                0.99636,                0.99496,                0.91275,                0.44213,                0.21875,                 0.8286,             0.00034038,             0.00034038,             0.00034038
                     49,                0.46841,                0.27438,                0.84957,                0.99733,                0.99868,                0.99471,                0.91446,                0.43477,                0.21527,                0.82641,             0.00033419,             0.00033419,             0.00033419
                     50,                0.46553,                0.26871,                0.85135,                0.99683,                0.99766,                0.99453,                0.90943,                0.44601,                0.21784,                0.83088,               0.000328,               0.000328,               0.000328
                     51,                0.45589,                0.26988,                0.84933,                0.99673,                0.99862,                0.99495,                0.91298,                0.44251,                0.21508,                0.82713,             0.00032181,             0.00032181,             0.00032181
                     52,                0.45381,                0.26744,                0.84546,                 0.9983,                0.99902,                0.99473,                0.91289,                0.44043,                0.20905,                0.82665,             0.00031562,             0.00031562,             0.00031562
                     53,                0.44994,                0.26871,                0.83963,                0.99846,                0.99906,                0.99494,                0.91376,                0.43524,                0.20693,                0.82685,             0.00030944,             0.00030944,             0.00030944
                     54,                0.45542,                0.27404,                0.84933,                0.99165,                 0.9957,                0.99466,                 0.9104,                0.44647,                0.21875,                0.82966,             0.00030325,             0.00030325,             0.00030325
                     55,                0.44206,                0.27106,                0.84653,                 0.9977,                0.99748,                0.99492,                0.90906,                0.45352,                0.21536,                0.83098,             0.00029706,             0.00029706,             0.00029706
                     56,                0.45706,                0.27438,                0.84594,                0.99372,                0.99764,                0.99495,                0.91083,                0.43704,                 0.2176,                0.82556,             0.00029088,             0.00029088,             0.00029088
                     57,                  0.456,                0.27104,                0.84697,                0.99749,                0.99705,                0.99467,                0.90997,                0.44587,                0.21223,                0.82748,             0.00028469,             0.00028469,             0.00028469
                     58,                0.45333,                 0.2698,                0.84589,                0.99803,                0.99787,                0.99469,                0.90716,                0.46301,                0.21504,                0.83167,              0.0002785,              0.0002785,              0.0002785
                     59,                0.45678,                0.27441,                0.85087,                0.98954,                0.98942,                0.99279,                0.91102,                0.44132,                0.23142,                0.82789,             0.00027231,             0.00027231,             0.00027231
                     60,                0.44674,                0.26887,                0.84686,                0.99504,                 0.9969,                0.99497,                0.91294,                0.44264,                0.21435,                0.82797,             0.00026613,             0.00026613,             0.00026613
                     61,                0.44955,                0.26166,                0.84636,                0.99794,                0.99853,                0.99482,                0.91208,                 0.4448,                0.20801,                0.82726,             0.00025994,             0.00025994,             0.00025994
                     62,                0.44778,                0.26145,                0.84528,                0.99589,                0.99619,                 0.9948,                0.91111,                0.44626,                0.21438,                0.82855,             0.00025375,             0.00025375,             0.00025375
                     63,                0.43821,                0.26055,                0.84318,                0.99503,                0.99417,                0.99485,                0.91142,                0.43938,                0.21288,                0.82857,             0.00024756,             0.00024756,             0.00024756
                     64,                0.44734,                0.26563,                0.84616,                0.99791,                0.99739,                0.99499,                0.91211,                0.43917,                0.20675,                0.82643,             0.00024137,             0.00024137,             0.00024137
                     65,                0.43466,                0.25362,                0.84123,                0.99731,                0.99853,                0.99494,                0.91079,                0.44227,                0.20226,                0.82749,             0.00023519,             0.00023519,             0.00023519
                     66,                0.43208,                0.25095,                0.83773,                0.99802,                0.99895,                0.99496,                0.91354,                0.44248,                0.20302,                0.82773,               0.000229,               0.000229,               0.000229
                     67,                0.42521,                0.24998,                0.84275,                 0.9965,                0.99737,                0.99499,                0.90968,                   0.45,                0.20312,                0.83028,             0.00022281,             0.00022281,             0.00022281
                     68,                 0.4261,                0.24262,                0.83358,                0.99724,                0.99714,                0.99499,                0.91298,                0.44747,                 0.2021,                0.82693,             0.00021662,             0.00021662,             0.00021662
                     69,                0.41604,                0.23939,                0.83505,                0.99822,                 0.9988,                  0.995,                0.91095,                0.45047,                0.20225,                 0.8293,             0.00021044,             0.00021044,             0.00021044
                     70,                0.41982,                0.24139,                0.83795,                0.99811,                0.99879,                0.99496,                0.91242,                0.44428,                 0.1974,                0.82811,             0.00020425,             0.00020425,             0.00020425
                     71,                0.41054,                 0.2328,                0.83307,                0.99856,                0.99958,                0.99483,                0.91325,                0.45576,                0.19623,                0.83153,             0.00019806,             0.00019806,             0.00019806
                     72,                0.40815,                0.23327,                0.83307,                0.99762,                0.99885,                 0.9949,                0.91027,                0.44711,                0.19238,                0.82896,             0.00019188,             0.00019188,             0.00019188
                     73,                0.40688,                0.23115,                0.83486,                0.99761,                0.99899,                0.99409,                0.91146,                0.44516,                 0.1974,                0.82918,             0.00018569,             0.00018569,             0.00018569
                     74,                0.40344,                0.22825,                0.83184,                0.99788,                0.99821,                 0.9944,                0.91087,                0.44898,                0.19599,                0.82981,              0.0001795,              0.0001795,              0.0001795
                     75,                0.39444,                0.22019,                0.82969,                0.99757,                0.99905,                0.99439,                0.91167,                0.44648,                0.19204,                0.82984,             0.00017331,             0.00017331,             0.00017331
                     76,                0.39145,                0.21978,                0.82625,                0.99766,                0.99874,                 0.9943,                0.91205,                0.44388,                0.19284,                0.82804,             0.00016713,             0.00016713,             0.00016713
                     77,                0.37346,                0.21491,                0.82903,                0.99785,                0.99796,                0.99462,                0.91054,                0.45084,                 0.1919,                0.82925,             0.00016094,             0.00016094,             0.00016094
                     78,                0.37845,                0.21367,                0.82219,                0.99771,                0.99744,                0.99466,                 0.9114,                0.45338,                0.19498,                0.82944,             0.00015475,             0.00015475,             0.00015475
                     79,                0.35938,                0.20623,                0.82134,                0.99833,                0.99782,                0.99447,                0.91166,                0.45138,                0.19348,                0.83015,             0.00014856,             0.00014856,             0.00014856
                     80,                 0.3679,                0.21176,                0.82466,                0.99795,                0.99774,                0.99448,                0.91078,                0.44921,                0.19293,                0.82853,             0.00014237,             0.00014237,             0.00014237
                     81,                0.35975,                0.20303,                0.82055,                0.99794,                0.99828,                0.99476,                0.91346,                0.44934,                0.19023,                0.82886,             0.00013619,             0.00013619,             0.00013619
                     82,                  0.363,                0.20607,                0.82065,                0.99729,                0.99859,                 0.9949,                0.90915,                0.46074,                 0.1926,                0.83135,                0.00013,                0.00013,                0.00013
                     83,                0.35676,                0.20294,                0.82131,                0.99848,                0.99901,                0.99465,                0.91033,                0.45198,                0.18922,                0.82889,             0.00012381,             0.00012381,             0.00012381
                     84,                 0.3519,                0.20062,                0.81879,                 0.9984,                0.99862,                0.99449,                0.90625,                0.46014,                0.19216,                0.83158,             0.00011763,             0.00011763,             0.00011763
                     85,                 0.3475,                0.19667,                0.81705,                0.99795,                0.99901,                0.99479,                0.91079,                0.44893,                0.18977,                0.83007,             0.00011144,             0.00011144,             0.00011144
                     86,                0.35202,                0.19994,                0.81617,                0.99726,                 0.9984,                0.99485,                0.91324,                0.45319,                0.19296,                0.83144,             0.00010525,             0.00010525,             0.00010525
                     87,                 0.3729,                0.21035,                0.82147,                0.99793,                0.99806,                0.99481,                 0.9135,                0.45115,                0.18893,                0.82957,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                0.36726,                0.20639,                0.82277,                 0.9976,                0.99881,                  0.995,                0.91068,                0.45324,                0.18945,                0.82988,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                0.37025,                0.20889,                0.82109,                0.99857,                 0.9982,                0.99497,                0.91197,                 0.4491,                0.18896,                0.82851,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                0.36666,                0.20957,                 0.8207,                0.99854,                0.99888,                0.99467,                0.91168,                0.44994,                0.18574,                0.82844,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                0.36101,                0.20074,                0.81715,                0.99811,                0.99915,                0.99459,                0.91054,                 0.4489,                0.18658,                0.82788,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                0.35766,                0.20288,                0.81982,                0.99622,                0.99689,                0.99459,                0.91056,                0.44952,                0.18713,                0.82788,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                0.35352,                0.20252,                0.82159,                0.99741,                0.99677,                0.99487,                0.91097,                0.45165,                0.18775,                0.82828,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                0.35094,                0.19552,                0.81939,                0.99728,                0.99712,                0.99496,                0.91238,                0.45113,                0.18701,                0.82794,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                0.34694,                0.19033,                0.81369,                0.99835,                0.99742,                  0.995,                0.91029,                0.45106,                0.18474,                0.82879,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                0.34712,                0.19207,                0.82116,                0.99846,                0.99791,                0.99499,                0.90888,                0.45564,                 0.1858,                0.83022,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                0.34725,                0.19261,                0.81926,                0.99815,                0.99863,                  0.995,                0.91043,                0.45393,                0.18367,                0.82952,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                0.34232,                0.19124,                0.81857,                0.99841,                0.99806,                0.99499,                0.90957,                0.45457,                0.18363,                0.82939,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                0.34045,                 0.1842,                0.81571,                0.99851,                0.99766,                0.99499,                0.91128,                0.45493,                0.18406,                0.82938,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                0.33652,                0.18925,                0.81255,                0.99857,                 0.9973,                  0.995,                0.91137,                0.45257,                0.18329,                0.82824,             1.8625e-05,             1.8625e-05,             1.8625e-05
